sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,17,,良好,0.5,0.1,16,15.7,18,3,2.6,3.4,0.8,3.5,93,"2023/07/26 20:00:00",0.1,5.1,16,0,121.760056,25.129167,1
汐止,新北市,13,,良好,0.2,0.1,16,13.8,17,,3,4.3,1.3,3.4,76,"2023/07/26 20:00:00",0.1,3.8,13,0,121.64081,25.06624,2
萬里,新北市,23,,良好,5.9,0.09,12.7,15.8,19,1,6.8,8.9,2,6.4,112,"2023/07/26 20:00:00",,5.5,23,1,121.689881,25.179667,3
新店,新北市,15,,良好,0,0.09,18.6,16.9,17,5,1.4,2.6,1.2,5.6,134,"2023/07/26 20:00:00",0.1,4.1,10,0,121.537778,24.977222,4
土城,新北市,12,,良好,0.5,0.13,15.2,13.9,10,0,2.9,3.9,1,2.4,156,"2023/07/26 20:00:00",0.1,0.7,10,0,121.451861,24.982528,5
板橋,新北市,19,,良好,0.6,0.2,10.8,10.5,14,9,7.4,9.4,2,2.3,71,"2023/07/26 20:00:00",0.2,5.9,12,0,121.458667,25.012972,6
新莊,新北市,17,,良好,0.2,0.15,14.3,12.4,13,3,4.1,5.4,1.3,5.5,85,"2023/07/26 20:00:00",0.1,5.2,17,0,121.4325,25.037972,7
菜寮,新北市,18,,良好,0.6,0.22,11.1,10.1,13,2,9.1,10.4,1.2,4.4,96,"2023/07/26 20:00:00",0.2,5.6,11,0,121.481028,25.06895,8
林口,新北市,14,,良好,0.8,0.17,13.5,13.2,10,4,6.6,8.1,1.4,4.3,93,"2023/07/26 20:00:00",0.1,4.3,11,0,121.36548982,25.07798949,9
淡水,新北市,17,,良好,1,0.1,19.5,18.5,16,1,1.2,2,0.7,,,"2023/07/26 20:00:00",0.1,4.8,13,1,121.449239,25.1645,10
士林,臺北市,28,,良好,0.2,0.11,16.8,14.5,15,8,3.4,4.3,0.9,2.4,124,"2023/07/26 20:00:00",0.1,8.7,12,0,121.51666356,25.10334003,11
中山,臺北市,18,,良好,0.6,0.28,8,6.2,15,4,11.1,17.6,6.5,4.2,125,"2023/07/26 20:00:00",0.2,5.3,16,0,121.526528,25.062361,12
萬華,臺北市,17,,良好,0.7,0.22,10.6,9.8,7,6,10,14,3.9,2.5,85,"2023/07/26 20:00:00",0.2,5.3,10,0,121.507972,25.046503,13
古亭,臺北市,16,,良好,0.3,0.11,15.8,13.9,9,5,3.5,4.5,1,4.3,62,"2023/07/26 20:00:00",0.1,4.9,11,0,121.529556,25.020608,14
松山,臺北市,14,,良好,1,0.14,11.8,8.7,11,2,6.8,11.1,4.2,2.1,69,"2023/07/26 20:00:00",0.1,4.4,10,0,121.578611,25.05,15
大同,臺北市,44,,良好,0.7,0.54,4.6,4.3,18,9,15.6,38.8,23.1,-,-,"2023/07/26 20:00:00",0.5,13.5,24,0,121.51342074,25.06331455,16
桃園,桃園市,18,,良好,0.1,0.16,14.3,14.2,17,2,4.2,5.5,1.2,3.8,70,"2023/07/26 20:00:00",0.1,5.6,13,0,121.30500531,24.9947107,17
大園,桃園市,16,,良好,0.7,0.16,12,11.8,12,3,8.4,10.5,2,6.5,67,"2023/07/26 20:00:00",0.1,3.7,16,0,121.20251473,25.06100357,18
觀音,桃園市,21,,良好,0.6,0.1,15.2,15.4,11,7,3.9,4.9,1,6.7,86,"2023/07/26 20:00:00",0.1,6.5,16,0,121.08283092,25.03556747,19
平鎮,桃園市,13,,良好,1.1,0.19,13.4,14.1,7,4,5.8,6.9,1.1,4.2,82,"2023/07/26 20:00:00",0.1,3.7,11,1,121.203986,24.952786,20
龍潭,桃園市,13,,良好,0,0.12,14.9,14,7,4,2.9,4.4,1.5,3.9,62,"2023/07/26 20:00:00",0.1,2.8,9,0,121.21645772,24.86400048,21
湖口,新竹縣,13,,良好,0.3,0.13,13.7,14.8,7,4,4.3,5.9,1.6,5.5,61,"2023/07/26 20:00:00",0.1,4,11,0,121.03886894,24.90009696,22
竹東,新竹縣,15,,良好,0.2,0.1,15.6,16.3,3,5,2.1,2.8,0.7,3.5,54,"2023/07/26 20:00:00",0,1.6,6,0,121.08895493,24.74091408,23
新竹,新竹市,14,,良好,0.2,0.14,14,15,4,4,4.6,5.3,0.6,3.8,44,"2023/07/26 20:00:00",0.1,1.9,11,0,120.97236752,24.8056356,24
