國文,英文,數學,地理,歷史
99,61,100,66,97
72,92,54,59,59
99,73,60,82,88
64,92,62,78,72
65,89,69,55,74
53,86,78,90,85
60,71,55,53,72
91,62,66,96,75
66,91,61,79,75
58,98,66,83,86
81,100,78,55,95
86,57,54,83,77
61,93,100,63,64
98,53,53,67,97
62,53,80,81,60
72,73,99,61,89
84,81,90,66,65
84,86,64,57,70
63,98,71,98,68
52,57,93,97,55
76,99,73,66,87
59,91,97,83,77
63,95,81,75,93
90,63,92,58,52
62,92,83,87,71
92,73,97,71,70
54,56,53,70,94
78,64,81,57,90
76,97,56,69,57
69,64,52,93,78
80,67,79,78,98
75,51,79,93,66
90,90,77,82,69
81,59,75,65,53
74,89,91,66,56
77,75,92,76,50
100,60,62,63,84
98,98,93,52,92
83,53,60,65,80
69,70,51,80,53
64,84,93,92,89
56,51,77,51,73
73,90,95,55,65
64,50,81,84,60
52,90,75,68,50
73,100,59,64,66
61,67,52,89,60
71,99,98,53,66
58,61,86,89,62
56,54,54,89,95
